VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
0, 0,  2.78292,  7.73264,  4.44709E-16,  0.97638, -0.22047,  0.00,  1.00,  0.18898, -0.0315,  0.98425,  1.00,  0.93891,  0.29962,  0.96993,  0.98192,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
1, 1,  2.46,  9.18542,  0.49733,  0.6378, -0.27559,  0.71654,  1.00,  0.25984,  0.02362,  0.96063,  1.00,  0.93665,  0.27982,  0.96989,  0.98162,  1.00,  1.00,  1.00,  0.00, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
2, 2,  2.47014,  9.94786,  0.49636,  0.37795,  0.2126,  0.89764,  1.00,  0.10236,  0.00,  0.99213, -1.00,  0.94092,  0.28028,  0.96996,  0.98163,  1.00,  1.00,  1.00,  0.00, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
3, 3, -2.47014,  9.94786,  0.49636, -0.37795,  0.2126,  0.89764,  1.00, -0.08661,  0.01575,  1.00,  1.00,  0.94092,  0.28028,  0.96996,  0.98163,  1.00,  1.00,  1.00,  0.00, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
4, 4, -2.46,  9.18542,  0.49733, -0.6378, -0.27559,  0.71654,  1.00, -0.27559,  0.01575,  0.96063, -1.00,  0.93665,  0.27982,  0.96989,  0.98162,  1.00,  1.00,  1.00,  0.00, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
5, 5, -2.78292,  7.73264,  4.44709E-16, -0.97638, -0.22047,  0.00,  1.00, -0.19685, -0.03937,  0.97638, -1.00,  0.93891,  0.29962,  0.96993,  0.98192,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
6, 6,  2.47014,  9.94786, -0.49636,  0.37795,  0.2126, -0.89764,  1.00,  0.12598,  0.01575, -0.99213,  1.00,  0.94092,  0.28028,  0.96996,  0.98163,  1.00,  1.00,  1.00,  0.00, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
7, 7,  2.46,  9.18542, -0.49733,  0.6378, -0.27559, -0.71654,  1.00,  0.31496,  0.03937, -0.94488, -1.00,  0.93665,  0.27982,  0.96989,  0.98162,  1.00,  1.00,  1.00,  0.00, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
8, 8,  2.78292,  7.73264,  4.44709E-16,  0.97638, -0.22047,  0.00,  1.00,  0.22835, -0.0315, -0.9685, -1.00,  0.93891,  0.29962,  0.96993,  0.98192,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
9, 9, -2.78292,  7.73264,  4.44709E-16, -0.97638, -0.22047,  0.00,  1.00, -0.20472, -0.02362, -0.97638,  1.00,  0.93891,  0.29962,  0.96993,  0.98192,  1.00,  1.00,  1.00,  0.49804, 1, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
