VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
0, 4828, -1.71249,  9.68419,  5.92986E-16, -0.88189,  0.00, -0.47244,  1.00, -0.52756,  0.00,  0.85039, -1.00,  0.74443,  0.21264,  0.93702,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
1, 4829, -1.70313,  12.16731,  7.45033E-16, -1.00,  0.00,  0.00,  1.00, -0.52756,  0.00,  0.85039,  1.00,  0.7131,  0.21266,  0.93753,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
2, 4830, -1.35168,  9.68419,  0.22312, -0.40945,  0.00,  0.91339,  1.00, -0.40945,  0.00,  0.91339,  1.00,  0.74443,  0.18796,  0.93702,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
3, 4830, -1.35168,  9.68419,  0.22312, -0.40945,  0.00,  0.91339,  1.00, -0.40945,  0.00,  0.91339,  1.00,  0.74443,  0.18796,  0.93702,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
4, 4829, -1.70313,  12.16731,  7.45033E-16, -1.00,  0.00,  0.00,  1.00, -0.52756,  0.00,  0.85039,  1.00,  0.7131,  0.21266,  0.93753,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
5, 4831, -1.34432,  12.16731,  0.22301, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.7131,  0.18796,  0.93753,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
6, 4830, -1.35168,  9.68419,  0.22312, -0.40945,  0.00,  0.91339,  1.00, -0.40945,  0.00,  0.91339,  1.00,  0.74443,  0.18796,  0.93702,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
7, 4831, -1.34432,  12.16731,  0.22301, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.7131,  0.18796,  0.93753,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
8, 4832,  0.00,  9.69439,  0.424, -0.04724,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.74436,  0.14257,  0.93703,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
9, 4833, -1.69378,  14.65042,  8.97079E-16, -1.00,  0.00,  0.00,  1.00, -0.52756,  0.00,  0.85039,  1.00,  0.68176,  0.21269,  0.93804,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
10, 4831, -1.34432,  12.16731,  0.22301, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.7131,  0.18796,  0.93753,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
11, 4829, -1.70313,  12.16731,  7.45033E-16, -1.00,  0.00,  0.00,  1.00, -0.52756,  0.00,  0.85039,  1.00,  0.7131,  0.21266,  0.93753,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
12, 4832,  0.00,  9.69439,  0.424, -0.04724,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.74436,  0.14257,  0.93703,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
13, 4831, -1.34432,  12.16731,  0.22301, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.7131,  0.18796,  0.93753,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
14, 4834,  0.00,  12.1775,  0.42383,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.71303,  0.14257,  0.93753,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
15, 4835, -1.33696,  14.65042,  0.22291, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.68176,  0.18796,  0.93804,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
16, 4831, -1.34432,  12.16731,  0.22301, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.7131,  0.18796,  0.93753,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
17, 4833, -1.69378,  14.65042,  8.97079E-16, -1.00,  0.00,  0.00,  1.00, -0.52756,  0.00,  0.85039,  1.00,  0.68176,  0.21269,  0.93804,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
18, 4835, -1.33696,  14.65042,  0.22291, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.68176,  0.18796,  0.93804,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
19, 4834,  0.00,  12.1775,  0.42383,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.71303,  0.14257,  0.93753,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
20, 4831, -1.34432,  12.16731,  0.22301, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.7131,  0.18796,  0.93753,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
21, 4833, -1.69378,  14.65042,  8.97079E-16, -1.00,  0.00,  0.00,  1.00, -0.52756,  0.00,  0.85039,  1.00,  0.68176,  0.21269,  0.93804,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
22, 4836, -1.68442,  17.13353,  1.04913E-15, -1.00,  0.00,  0.00,  1.00, -0.52756,  0.00,  0.85039,  1.00,  0.66792,  0.21269,  0.93826,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
23, 4835, -1.33696,  14.65042,  0.22291, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.68176,  0.18796,  0.93804,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
24, 4837,  0.00,  14.66061,  0.42366,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.68171,  0.14258,  0.93804,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
25, 4834,  0.00,  12.1775,  0.42383,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.71303,  0.14257,  0.93753,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.8902,  0.0549,  0.0549,  0.00
26, 4835, -1.33696,  14.65042,  0.22291, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.68176,  0.18796,  0.93804,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
27, 4835, -1.33696,  14.65042,  0.22291, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.68176,  0.18796,  0.93804,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
28, 4836, -1.68442,  17.13353,  1.04913E-15, -1.00,  0.00,  0.00,  1.00, -0.52756,  0.00,  0.85039,  1.00,  0.66792,  0.21269,  0.93826,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
29, 4838, -1.32959,  17.13353,  0.2228, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.66792,  0.18796,  0.93826,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
30, 4835, -1.33696,  14.65042,  0.22291, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.68176,  0.18796,  0.93804,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
31, 4838, -1.32959,  17.13353,  0.2228, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.66792,  0.18796,  0.93826,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
32, 4837,  0.00,  14.66061,  0.42366,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.68171,  0.14258,  0.93804,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
33, 4839, -1.67506,  19.61665,  1.20117E-15, -1.00,  0.00,  0.00,  1.00, -0.53543,  0.00,  0.84252,  1.00,  0.65408,  0.21269,  0.93848,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
34, 4838, -1.32959,  17.13353,  0.2228, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.66792,  0.18796,  0.93826,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
35, 4836, -1.68442,  17.13353,  1.04913E-15, -1.00,  0.00,  0.00,  1.00, -0.52756,  0.00,  0.85039,  1.00,  0.66792,  0.21269,  0.93826,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
36, 4837,  0.00,  14.66061,  0.42366,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.68171,  0.14258,  0.93804,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.78824,  0.10588,  0.10588,  0.00
37, 4838, -1.32959,  17.13353,  0.2228, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.66792,  0.18796,  0.93826,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
38, 4840,  0.00,  17.14373,  0.42349,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.66786,  0.14258,  0.93826,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
39, 4841, -1.32223,  19.61665,  0.22269, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.65408,  0.18796,  0.93848,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
40, 4838, -1.32959,  17.13353,  0.2228, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.66792,  0.18796,  0.93826,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
41, 4839, -1.67506,  19.61665,  1.20117E-15, -1.00,  0.00,  0.00,  1.00, -0.53543,  0.00,  0.84252,  1.00,  0.65408,  0.21269,  0.93848,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
42, 4841, -1.32223,  19.61665,  0.22269, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.65408,  0.18796,  0.93848,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
43, 4840,  0.00,  17.14373,  0.42349,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.66786,  0.14258,  0.93826,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
44, 4838, -1.32959,  17.13353,  0.2228, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.66792,  0.18796,  0.93826,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
45, 4839, -1.67506,  19.61665,  1.20117E-15, -1.00,  0.00,  0.00,  1.00, -0.53543,  0.00,  0.84252,  1.00,  0.65408,  0.21269,  0.93848,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
46, 4842, -1.6657,  22.09976,  1.35322E-15, -1.00,  0.00,  0.00,  1.00, -0.53543,  0.00,  0.84252,  1.00,  0.64023,  0.21269,  0.93871,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 2,  0.42745,  0.28627,  0.27451,  0.01176
47, 4841, -1.32223,  19.61665,  0.22269, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.65408,  0.18796,  0.93848,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
48, 4843,  0.00,  19.62684,  0.42333,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.65402,  0.14259,  0.93849,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
49, 4840,  0.00,  17.14373,  0.42349,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.66786,  0.14258,  0.93826,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.68235,  0.16078,  0.15686,  0.00
50, 4841, -1.32223,  19.61665,  0.22269, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.65408,  0.18796,  0.93848,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
51, 4841, -1.32223,  19.61665,  0.22269, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.65408,  0.18796,  0.93848,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
52, 4842, -1.6657,  22.09976,  1.35322E-15, -1.00,  0.00,  0.00,  1.00, -0.53543,  0.00,  0.84252,  1.00,  0.64023,  0.21269,  0.93871,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 2,  0.42745,  0.28627,  0.27451,  0.01176
53, 4844, -1.31487,  22.09976,  0.22258, -0.35433,  0.00,  0.93701,  1.00, -0.35433,  0.00,  0.93701,  1.00,  0.64023,  0.18796,  0.93871,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 2,  0.42745,  0.28627,  0.27451,  0.01176
54, 4841, -1.32223,  19.61665,  0.22269, -0.34646,  0.00,  0.93701,  1.00, -0.34646,  0.00,  0.93701,  1.00,  0.65408,  0.18796,  0.93848,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
55, 4844, -1.31487,  22.09976,  0.22258, -0.35433,  0.00,  0.93701,  1.00, -0.35433,  0.00,  0.93701,  1.00,  0.64023,  0.18796,  0.93871,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 2,  0.42745,  0.28627,  0.27451,  0.01176
56, 4843,  0.00,  19.62684,  0.42333,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.65402,  0.14259,  0.93849,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
57, 4845, -1.65635,  24.58287,  1.50527E-15, -1.00,  0.00,  0.00,  1.00, -0.53543,  0.00,  0.84252,  1.00,  0.62639,  0.21269,  0.93893,  0.91535,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 2,  0.34902,  0.31765,  0.30588,  0.02745
58, 4844, -1.31487,  22.09976,  0.22258, -0.35433,  0.00,  0.93701,  1.00, -0.35433,  0.00,  0.93701,  1.00,  0.64023,  0.18796,  0.93871,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 2,  0.42745,  0.28627,  0.27451,  0.01176
59, 4842, -1.6657,  22.09976,  1.35322E-15, -1.00,  0.00,  0.00,  1.00, -0.53543,  0.00,  0.84252,  1.00,  0.64023,  0.21269,  0.93871,  0.91535,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 2,  0.42745,  0.28627,  0.27451,  0.01176
60, 4843,  0.00,  19.62684,  0.42333,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.65402,  0.14259,  0.93849,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 0,  0.55686,  0.22353,  0.21961,  0.00
61, 4844, -1.31487,  22.09976,  0.22258, -0.35433,  0.00,  0.93701,  1.00, -0.35433,  0.00,  0.93701,  1.00,  0.64023,  0.18796,  0.93871,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 2,  0.42745,  0.28627,  0.27451,  0.01176
62, 4846,  0.00,  22.10995,  0.42316,  0.00,  0.00,  1.00,  1.00, -0.14961,  0.00,  0.99213,  1.00,  0.64018,  0.14259,  0.93871,  0.91648,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 2,  0.42745,  0.28627,  0.27451,  0.01176
63, 4847, -1.30751,  24.58287,  0.22248, -0.35433,  0.00,  0.93701,  1.00, -0.35433,  0.00,  0.93701,  1.00,  0.62639,  0.18796,  0.93893,  0.91575,  1.00,  1.00,  1.00,  0.49804, 3, 5, 4, 2,  0.34902,  0.31765,  0.30588,  0.02745
64, 4844, -1.31487,  22.09976,  0.22258, -0.35433,  0.00,  0.93701,  1.00, -0.35433,  0.00,  0.93701,  1.00,  0.64023,  0.18796,  0.93871,  0.91575,  1.00,  1.00,  1.00,  0.49804, 4, 3, 5, 2,  0.42745,  0.28627,  0.27451,  0.01176
